VP	Resp_Config	Trial	Wort	Exp_Resp	First_Resp	Last_Resp	Recognition	RT_first_resp	resp_count
34	2	1	Karte	2	1	1	3	1436	1
34	2	2	Sportler	2	2	2	2	1280	1
34	2	3	Schnecke	1	1	1	4	1095	1
34	2	4	Dreieck	2	1	1	3	981	1
34	2	5	Deckel	1	2	2	1	1351	1
34	2	6	Sofa	1	2	2	1	885	1
34	2	7	Raupe	1	2	2	1	1074	1
34	2	8	Ente	1	1	1	4	2259	1
34	2	9	Seife	1	1	1	4	1196	1
34	2	10	Maler	1	2	2	1	1163	1
34	2	11	Affe	2	1	1	3	1411	1
34	2	12	Paket	1	2	2	1	1734	1
34	2	13	Haifisch	1	2	2	1	821	1
34	2	14	Biene	1	1	1	4	1352	1
34	2	15	Flasche	1	1	1	4	979	1
34	2	16	Nudel	2	1	1	3	2201	1
34	2	17	Hose 	1	2	2	1	1552	1
34	2	18	Geige	1	2	2	1	1724	1
34	2	19	Katze	1	1	2	1	1874	2
34	2	20	Jacke	2	1	1	3	2550	1
34	2	21	Tante	1	1	2	1	746	3
34	2	22	Wecker	2	1	1	3	1004	2
34	2	23	Onkel	2	1	1	3	863	1
34	2	24	Ampel	1	2	1	4	1161	3
34	2	25	Zeitung	1	2	2	1	1177	1
34	2	26	Nilpferd	1	2	2	1	979	1
34	2	27	Kirche	2	1	1	3	962	1
34	2	28	Adler	1	1	1	4	3076	1
34	2	29	Pilot	2	2	2	2	1066	1
34	2	30	Igel	2	1	1	3	1061	1
34	2	31	Leiter	2	2	2	2	3820	1
34	2	32	Eimer	2	1	1	3	2056	1
34	2	33	Zange	2	1	1	3	1088	1
34	2	34	Fahrer	2	2	2	2	1056	1
34	2	35	Rabe	2	2	2	2	1547	1
34	2	36	Tiger	2	1	1	3	1049	1
34	2	37	Tasche	2	1	1	3	957	1
34	2	38	Fliege	2	1	1	3	1434	1
34	2	39	Faden	1	2	2	1	1935	1
34	2	40	Auto	2	1	1	3	2086	1
